msg_id,speaker,text,label,tactic,stage,platform,urgency,subtlety_level,scam_subtype
EXT_SCAM_0001,hr,registration deposit LKR 7500 — covers compliance documentation.,1,urgency,payment_request,WhatsApp,medium,obvious,training_fee
EXT_SCAM_0002,recruiter,Educational certificate attestation fee AED 200 via authorized agent.,1,urgency,payment_request,WhatsApp,medium,obvious,background_check
EXT_LEGIT_0003,manager,"Hi Thilini, the technical round is a case study. You'll get the problem statement via email and have 48 hours to submit.",0,,document_request,Email,low,,
EXT_LEGIT_0004,manager,Welcome aboard Pradeep! Your employee ID and system access will be ready from day one. IT team will set up your laptop at reception.,0,,document_request,LinkedIn,low,,
EXT_SCAM_0005,recruiter,PHP 2000 per day product testing. Simple work from phone.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0006,attacker,Remote Singapore company job. SGD 500 per task set.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_LEGIT_0007,manager,"Hi Thilini, for HR onboarding records please upload your NIC copy and latest tax slip to our secure portal: https://hr.mas.com/onboard. Do not share via WhatsApp.",0,,document_request,LinkedIn,medium,,
EXT_SCAM_0008,recruiter,sgd 200 per hour online work. easy. daily cashout.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0009,attacker,singapore job confirmed. work permit sgd 200 via our agent. normal charge.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0010,attacker,earn $200 per day rating products. simple phone work. flexible.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0011,hr,File processing charge LKR 12000 to initiate official employer correspondence.,1,urgency,payment_request,WhatsApp,medium,obvious,direct_payment
EXT_SCAM_0012,recruiter,akka earn inr 2000 per day home job. typing work. very easy.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_LEGIT_0013,manager,"Hi Divya, please upload NIC copy and bank statement to our secure portal: https://portal.hsenid.com/hr for payroll setup.",0,,initial_contact,LinkedIn,medium,,
EXT_SCAM_0014,attacker,Training material fee LKR 12000 covers study pack and certification exam.,1,urgency,payment_request,WhatsApp,medium,obvious,document_fee
EXT_SCAM_0015,manager,Our vetting process ensures only genuine opportunities reach candidates we contact.,1,social_proof,qualification,WhatsApp,low,very subtle,subtle_pressure
EXT_SCAM_0016,recruiter,Background verification SGD 200 through certified screening partner.,1,urgency,payment_request,WhatsApp,medium,obvious,background_check
EXT_SCAM_0017,attacker,Dubai security job confirmed. Employment visa fee AED 800 via authorized agent.,1,"social_proof,urgency",payment_request,Email,high,obvious,visa_scam
EXT_LEGIT_0018,hr,"Hi Chamara, thanks for interviewing with Hsenid Business Solutions. Please complete the take-home assignment — link in email from our HR system.",0,,offer_announcement,WhatsApp,medium,,
EXT_SCAM_0019,recruiter,LKR 7500 daily for online form filling. No skills needed.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0020,recruiter,Click partner ads daily earn $100 per click. Minimum 20 clicks.,1,"social_proof,urgency",initial_contact,Email,medium,medium,quick_task
EXT_SCAM_0021,recruiter,bro this job pays $100 daily. just rate products online.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_LEGIT_0022,recruiter,hey Arjun — team was impressed in panel. moving u to final stage.,0,,document_request,Telegram,low,,
EXT_LEGIT_0023,manager,"Hi Amaya, final round interview with the CTO at MAS Holdings — Friday 11:00 via Zoom. Please confirm availability.",0,,initial_contact,LinkedIn,low,,
EXT_SCAM_0024,hr,Singapore restaurant job. S-Pass processing fee SGD 150 through partner.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0025,attacker,Qatar security guard job. Medical + visa fee QAR 200 through our agent.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0026,recruiter,processing charge USD 150. required by employer compliance.,1,urgency,payment_request,Telegram,high,obvious,background_check
EXT_SCAM_0027,recruiter,Our company has a faster track for serious candidates. Not everyone qualifies.,1,social_proof,initial_contact,WhatsApp,medium,very subtle,subtle_pressure
EXT_SCAM_0028,recruiter,PHP 800 daily for digital tasks. Phone based. Flexible hours.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_SCAM_0029,recruiter,Work permit fee AED 300 — government mandated for all expatriates.,1,urgency,payment_request,Telegram,high,obvious,training_fee
EXT_SCAM_0030,manager,We are a government-registered recruitment agency with offices in Canada and Colombo.,1,social_proof,initial_contact,Email,low,very subtle,subtle_pressure
EXT_SCAM_0031,recruiter,Our Bahrain-based client specifically requested a Sri Lankan candidate with your skill set.,1,social_proof,initial_contact,Email,low,very subtle,subtle_pressure
EXT_SCAM_0032,attacker,rate products on amazon earn $50 per review. phone based easy task.,1,social_proof,initial_contact,Telegram,medium,medium,quick_task
EXT_SCAM_0033,recruiter,Work from home earn SGD 300 per day. Simple tasks.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0034,hr,Document processing fee USD 500 required to proceed.,1,urgency,payment_request,Telegram,medium,obvious,visa_scam
EXT_SCAM_0035,attacker,Document processing fee LKR 20000 required to proceed with your application.,1,urgency,payment_request,WhatsApp,medium,obvious,direct_payment
EXT_SCAM_0036,attacker,Processing fee SGD 50 required to proceed with Singapore posting.,1,urgency,payment_request,Telegram,high,obvious,background_check
EXT_SCAM_0037,manager,Your background is exactly what our Gulf client is targeting for this quarter's intake.,1,social_proof,initial_contact,Telegram,low,very subtle,subtle_pressure
EXT_SCAM_0038,hr,Malaysia production job. Work permit processing AED equivalent LKR 5000.,1,"social_proof,urgency",payment_request,Telegram,high,obvious,visa_scam
EXT_LEGIT_0039,recruiter,"Welcome to the team Nethmi! First day briefing: Monday 8:30am, Colombo office. Casual dress for the first week. See you soon!",0,,document_request,LinkedIn,low,,
EXT_SCAM_0040,recruiter,Processing fee PHP 1000 required. Pay to activate your file.,1,urgency,payment_request,Telegram,high,obvious,direct_payment
EXT_SCAM_0041,attacker,Kuwait domestic helper job. Visa processing LKR 2500 standard charge.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0042,recruiter,Part-time online job INR 3000 daily. Flexible hours.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_LEGIT_0043,manager,Checking in Hasitha — the role is still open and your profile is in consideration. Let me know if anything has changed on your end.,0,,follow_up,Email,medium,,
EXT_LEGIT_0044,manager,"Hi Nisha, background verification requires NIC scan and 2 references. Please submit via our HR portal — link in your offer email.",0,,offer_announcement,Email,medium,,
EXT_LEGIT_0045,hr,"Sanduni, I'm reaching out from Hsenid Business Solutions's talent team. Your profile matches a role we're actively filling. Five-minute intro call this week?",0,,offer_announcement,WhatsApp,medium,,
EXT_SCAM_0046,attacker,Product rating job. AED 800 per review. Work from home.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0047,hr,Medical examination fee LKR 2500 at our partner clinic. Mandatory for posting.,1,urgency,payment_request,WhatsApp,high,obvious,equipment_deposit
EXT_LEGIT_0048,manager,"Hi Suresh, we reviewed your counter-offer. Team can come up to LKR 15000. Beyond that needs executive approval. Acceptable?",0,,qualification,Email,medium,,
EXT_SCAM_0049,recruiter,facebook like task anna. LKR 12000 per like. daily cashout possible.,1,"social_proof,urgency",initial_contact,Telegram,medium,medium,quick_task
EXT_SCAM_0050,attacker,bro aed 150 per hour online job. no office no exp needed.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_LEGIT_0051,manager,"Hi Ruwan, Virtusa offer for UX Designer is attached. Salary LKR 75000 as discussed. Confirm acceptance by Friday.",0,,document_request,WhatsApp,low,,
EXT_SCAM_0052,attacker,Rate Airbnb listings. USD 500 per review. Work from anywhere.,1,"social_proof,urgency",initial_contact,WhatsApp,medium,medium,quick_task
EXT_SCAM_0053,recruiter,easy task — join telegram groups earn LKR 12000 per group joined.,1,"social_proof,urgency",initial_contact,WhatsApp,medium,medium,quick_task
EXT_SCAM_0054,hr,medical clearance LKR 5000 at our certified partner clinic.,1,urgency,payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0055,recruiter,Work from home — USD 300 per hour. Flexible schedule.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0056,hr,Abu Dhabi driver job. Employment visa AED 100 through our authorized office.,1,"social_proof,urgency",payment_request,Email,high,obvious,visa_scam
EXT_SCAM_0057,recruiter,Social media task — AED 200 per hour. Flexible. Phone only.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0058,attacker,Processing charge LKR 12000 — covers documentation for employer submission.,1,urgency,payment_request,WhatsApp,medium,obvious,training_fee
EXT_SCAM_0059,hr,Singapore factory job placement. Work visa processing fee LKR 25000 required.,1,"social_proof,urgency",payment_request,Instagram,high,obvious,visa_scam
EXT_LEGIT_0060,hr,"Hi Pradeep, panel interview confirmed for Thursday 3:00. Three team members joining via Zoom. Agenda: technical + culture fit.",0,,offer_announcement,LinkedIn,low,,
EXT_LEGIT_0061,manager,"Hi Bimal, background verification is the last step before offer letter. Please provide reference details on https://hr.calcey.com/onboard this week.",0,,offer_announcement,WhatsApp,low,,
EXT_SCAM_0062,recruiter,Google Maps review task — LKR 25000 per 5-star review. Phone work.,1,"social_proof,urgency",initial_contact,Instagram,medium,medium,quick_task
EXT_SCAM_0063,attacker,Singapore company hiring remote. SGD 300 per hour.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_SCAM_0064,attacker,online earn sgd 50 per hour. no target. work own schedule.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0065,attacker,usd 300 per hour remote work. set ur own hours. phone job.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
EXT_SCAM_0066,hr,Work visa processing SGD 100 through our authorized agent.,1,urgency,payment_request,WhatsApp,high,obvious,background_check
EXT_SCAM_0067,recruiter,Onboarding administration fee LKR 12000. Refundable upon completion of probation.,1,urgency,payment_request,SMS,high,obvious,equipment_deposit
EXT_SCAM_0068,recruiter,document fee LKR 25000 need to pay before we can submit ur file.,1,urgency,payment_request,SMS,high,obvious,training_fee
EXT_SCAM_0069,hr,Visa processing fee AED 150 through our partner agency in Bahrain.,1,urgency,payment_request,SMS,medium,obvious,training_fee
EXT_SCAM_0070,recruiter,Your profile alignment score was the highest we've seen in this candidate batch.,1,social_proof,qualification,WhatsApp,low,very subtle,subtle_pressure
EXT_LEGIT_0071,hr,"Hi Arjun, we'd like to schedule you for a technical interview with our Data Analyst team. Tuesday at AM via phone call. Free?",0,,qualification,SMS,low,,
EXT_SCAM_0072,attacker,Remote position — AED 200 per hour. No experience needed.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0073,recruiter,Insurance registration LKR 2000. Mandatory for all overseas placements.,1,urgency,payment_request,Telegram,medium,obvious,visa_scam
EXT_SCAM_0074,attacker,Online job paying USD 50 per completed task. Any device.,1,social_proof,initial_contact,Instagram,medium,medium,high_hourly
EXT_SCAM_0075,recruiter,You've been added to our priority talent pool — exclusive to top 500 candidates.,1,social_proof,qualification,SMS,low,very subtle,subtle_pressure
EXT_SCAM_0076,attacker,Part time online work AED 150 per hour. Phone or laptop.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0077,recruiter,bro follow IG pages earn PHP 2000 per follow. unlimited daily la.,1,social_proof,initial_contact,Email,medium,medium,quick_task
EXT_SCAM_0078,hr,Police clearance fee LKR 4500 through our authorized agent. Standard process.,1,urgency,payment_request,WhatsApp,medium,obvious,equipment_deposit
EXT_LEGIT_0079,recruiter,"Hi Thilini, your joining documents are in order. Your manager Priya will meet you on arrival at our Gampaha office.",0,,initial_contact,LinkedIn,low,,
EXT_LEGIT_0080,hr,hi Priya — contract attached in email. sign and send back pls.,0,,initial_contact,WhatsApp,low,,
EXT_SCAM_0081,recruiter,Our team spent considerable time on your profile before deciding to reach out directly.,1,social_proof,initial_contact,Telegram,medium,very subtle,subtle_pressure
EXT_SCAM_0082,recruiter,u follow instagram accounts get paid 5000 PHP per follow. easy phone job.,1,social_proof,initial_contact,WhatsApp,medium,medium,quick_task
EXT_SCAM_0083,attacker,hi this job is PHP 1500 per task 20 task daily very easy.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0084,attacker,$100 per task online. Work own hours. Direct bank payment.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0085,hr,training fee LKR 3000 to register. course material included.,1,urgency,payment_request,Email,high,obvious,visa_scam
EXT_LEGIT_0086,recruiter,"Hi Thilini, revised offer: LKR 25000 fixed plus performance bonus up to 20%. Medical and transport included. Formal letter follows.",0,,qualification,SMS,low,,
EXT_SCAM_0087,recruiter,Like and follow celebrity Instagram accounts. PHP 500 per follow. Unlimited daily.,1,social_proof,initial_contact,WhatsApp,medium,medium,quick_task
EXT_LEGIT_0088,hr,"Hi Kavya, coding challenge sent via HackerRank. 90 minutes, covers algorithms and SQL. Please start only when ready.",0,,document_request,WhatsApp,low,,
EXT_SCAM_0089,recruiter,earn php 1000 daily rating product. simple. no exp. phone work.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0090,attacker,Tripadvisor review task. USD 100 per review. Phone or laptop.,1,social_proof,initial_contact,WhatsApp,medium,medium,quick_task
EXT_SCAM_0091,manager,The hiring manager personally reviewed your profile and asked us to reach out.,1,social_proof,initial_contact,WhatsApp,medium,very subtle,subtle_pressure
EXT_SCAM_0092,attacker,Equipment security bond SGD 200. Required by company policy.,1,urgency,payment_request,SMS,high,obvious,training_fee
EXT_SCAM_0093,attacker,Online job SGD 500 per session. Work own hours any day.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0094,recruiter,kuwait job confirmed. processing fee lkr 5000 through certified agent.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0095,attacker,Online product review — LKR 6000 per review. Work from anywhere.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0096,recruiter,Digital task work paying $50 daily. No experience needed.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0097,attacker,Online job — LKR 8000 per completed set. Work any time.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_LEGIT_0098,hr,"Hi Sajith, compensation for Marketing Executive role is LKR 100000 per month as discussed. Formal letter being sent to your registered email.",0,,qualification,Telegram,low,,
EXT_SCAM_0099,hr,Medical clearance fee USD 300 at our partner clinic.,1,urgency,payment_request,WhatsApp,high,obvious,background_check
EXT_SCAM_0100,recruiter,easy home job. lkr 2500 per session. mobile work. no exp needed.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
EXT_SCAM_0101,recruiter,anna earn AED 100 per hour from phone. easy la.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
EXT_SCAM_0102,attacker,Seat confirmation deposit LKR 1500. Deducted from first month salary.,1,urgency,payment_request,SMS,medium,obvious,training_fee
EXT_SCAM_0103,recruiter,sister trustpilot review task usd 300 per review no exp needed.,1,"social_proof,urgency",initial_contact,SMS,medium,medium,quick_task
EXT_SCAM_0104,attacker,Data entry job PHP 1200 daily. Simple typing. Own hours.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0105,hr,Work permit processing fee LKR 10000 required by immigration authority.,1,urgency,payment_request,SMS,high,obvious,direct_payment
EXT_SCAM_0106,attacker,LinkedIn connection task — USD 300 per 10 connections sent.,1,"social_proof,urgency",initial_contact,Instagram,medium,medium,quick_task
EXT_SCAM_0107,recruiter,Earn $100 per day from home. Phone or PC. Flexible timing.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0108,recruiter,Canada hospital cleaning job. Medical + visa LKR 2500 via our agent.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0109,recruiter,Work from mobile — LKR 10000 per session. No qualification required.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_SCAM_0110,attacker,Visa processing fee LKR 3000 through our partner agency. Standard charge.,1,urgency,payment_request,WhatsApp,medium,obvious,background_check
EXT_LEGIT_0111,recruiter,"Hi Ruwantha, Dialog Axiata can revise the offer to LKR 37500 with 6-month performance review. Would that work?",0,,qualification,LinkedIn,low,,
EXT_SCAM_0112,recruiter,work permit processing AED 500. government authorized charge.,1,urgency,payment_request,WhatsApp,medium,obvious,training_fee
EXT_SCAM_0113,recruiter,Training deposit SGD 100 — refundable after completing induction.,1,urgency,payment_request,WhatsApp,high,obvious,visa_scam
EXT_LEGIT_0114,recruiter,"Hi Vikram, HackerRank assessment link sent to your email. 90 minutes, no deadline extension. Complete at your convenience this week.",0,,offer_announcement,SMS,medium,,
EXT_SCAM_0115,recruiter,INR 1500 per hour remote work. Mobile or laptop.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0116,manager,Our placement success rate is 94% — candidates we select almost always get the role.,1,social_proof,initial_contact,Telegram,medium,very subtle,subtle_pressure
EXT_SCAM_0117,attacker,machan 1500 PHP per task 15 task = PHP 22500 per day easy.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_LEGIT_0118,hr,"Hi Bimal, apologies for the cold message — Lakmini from Arimac Lanka. Came across your CV on our portal. We have a HR Business Partner role that aligns closely with your experience.",0,,follow_up,WhatsApp,medium,,
EXT_SCAM_0119,recruiter,Online survey job. LKR 15000 per hour. No experience required.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
EXT_SCAM_0120,attacker,Earn SGD 150 per hour from home. Digital tasks. No skills required.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0121,recruiter,YouTube subscribe task. LKR 2500 per channel subscribed. Easy phone.,1,social_proof,initial_contact,Telegram,medium,medium,quick_task
EXT_SCAM_0122,hr,Tax clearance certificate LKR 10000 — mandatory for overseas salary.,1,urgency,payment_request,Telegram,high,obvious,background_check
EXT_LEGIT_0123,recruiter,"Hi Chathura, our HR team is finalizing the shortlist. Your profile is in the final three. Decision expected by end of week.",0,,initial_contact,Email,medium,,
EXT_SCAM_0124,recruiter,Document fee PHP 800 — covers authentication and submission.,1,urgency,payment_request,SMS,medium,obvious,document_fee
EXT_SCAM_0125,recruiter,bro google review task LKR 5000 per review. just 5 star review only.,1,social_proof,initial_contact,WhatsApp,medium,medium,quick_task
EXT_SCAM_0126,hr,Security deposit USD 150 for remote work equipment.,1,urgency,payment_request,Instagram,high,obvious,equipment_deposit
EXT_SCAM_0127,recruiter,Background check fee USD 200 through our certified partner.,1,urgency,payment_request,Telegram,medium,obvious,direct_payment
EXT_SCAM_0128,recruiter,USD 300 per hour online work. Set your own hours. No exp.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0129,hr,Document authentication fee USD 200 — paid once to processing center.,1,urgency,payment_request,WhatsApp,medium,obvious,training_fee
EXT_LEGIT_0130,manager,"Hi Thilini, any update on whether you're still interested in the Arimac Lanka opportunity? Panel review meeting tomorrow.",0,,document_request,LinkedIn,low,,
EXT_SCAM_0131,attacker,USD 50 daily online work. Simple tasks no experience needed.,1,social_proof,initial_contact,Instagram,medium,medium,high_hourly
EXT_SCAM_0132,attacker,machan sgd 100 per day part time only 2 hour daily la.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
EXT_SCAM_0133,recruiter,document attestation fee SGD 50 — standard overseas requirement.,1,urgency,payment_request,WhatsApp,medium,obvious,direct_payment
EXT_SCAM_0134,recruiter,Home-based typing — LKR 10000 per hour. Daily bank transfer.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0135,attacker,Digital work from home. INR 2000 per session. Phone.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0136,hr,Medical fitness certificate fee LKR 3000 at our certified clinic.,1,urgency,payment_request,Email,high,obvious,direct_payment
EXT_SCAM_0137,recruiter,aed 500 per day easy home job. no exp. daily payment.,1,social_proof,initial_contact,Telegram,medium,medium,high_hourly
